gene_name,surface_evidence
AC006238.1,0
AC006238.2,0
AC006249.1,0
AC006252.1,0
AC006262.1,0
AC006262.2,0
AC006262.3,0
AC006270.1,0
AC006272.1,0
AC006273.1,0
AC006288.1,0
AC006296.1,0
AC006296.2,0
AC006296.3,0
AC006299.1,0
AC006305.1,0
AC006305.2,0
AC006305.3,0
AC006329.1,0
AC006333.1,0
AC006333.2,0
AC006348.1,0
AC006355.2,0
AC006357.1,0
AC006364.1,0
AC006369.1,0
AC006369.2,0
AC006372.1,0
AC006372.2,0
AC006372.3,0
AC006378.1,0
AC006387.1,0
AC006398.1,0
AC006427.2,0
AC006435.1,0
AC006435.2,0
AC006435.3,0
AC006441.1,0
AC006441.3,0
AC006441.4,0
AC006445.3,0
AC006449.1,0
AC006449.2,0
AC006449.3,0
AC006449.5,0
AC006449.6,0
AC006450.1,0
AC006450.2,0
AC006450.3,0
AC006452.1,0
AC006455.1,0
AC006455.4,0
AC006455.5,0
AC006458.1,0
AC006459.1,0
AC006460.1,0
AC006460.2,0
AC006478.1,0
AC006478.2,0
AC006480.2,0
AC006482.1,0
AC006483.2,0
AC006487.1,0
AC006487.2,0
AC006504.1,0
AC006504.2,0
AC006504.5,0
AC006504.7,0
AC006511.4,0
AC006511.6,0
AC006517.2,0
AC006525.1,0
AC006538.1,0
AC006538.3,0
AC006538.4,0
AC006547.1,0
AC006547.2,0
AC006547.3,0
AC006557.1,0
AC006557.3,0
AC006566.1,0
AC006566.2,0
AC006581.1,0
AC006581.2,0
AC006942.1,0
AC006946.2,0
AC006946.3,0
AC006947.1,0
AC006960.2,0
AC006960.3,0
AC006967.2,0
AC006967.3,0
AC006970.3,0
AC006972.1,0
AC006974.1,0
AC006974.2,0
AC006994.2,0
AC007001.1,0
AC007003.1,0
AC007009.1,0
AC007014.1,0
AC007014.2,0
AC007029.1,0
AC007032.1,0
AC007036.1,0
AC007036.2,0
AC007036.3,0
AC007036.5,0
AC007038.1,0
AC007038.2,0
AC007040.1,0
AC007064.2,0
AC007066.2,0
AC007066.3,0
AC007091.1,0
AC007098.1,0
AC007099.1,0
AC007099.2,0
AC007100.1,0
AC007100.2,0
AC007106.1,0
AC007106.2,0
AC007114.1,0
AC007114.2,0
AC007126.1,0
AC007128.2,0
AC007130.1,0
AC007132.1,0
AC007159.1,0
AC007163.1,0
AC007179.1,0
AC007179.2,0
AC007182.1,0
AC007192.2,0
AC007193.1,0
AC007193.2,0
AC007193.3,0
AC007216.1,0
AC007216.2,0
AC007216.3,0
AC007216.4,0
AC007218.1,0
AC007218.2,0
AC007218.3,0
AC007220.1,0
AC007220.2,0
AC007221.1,0
AC007222.2,0
AC007223.1,0
AC007240.3,0
AC007244.1,0
AC007250.1,0
AC007255.1,0
AC007262.2,0
AC007269.1,0
AC007271.1,0
AC007272.1,0
AC007277.1,0
AC007278.1,0
AC007278.2,0
AC007279.2,0
AC007283.1,0
AC007285.1,0
AC007285.2,0
AC007292.1,0
AC007292.2,0
AC007292.3,0
AC007298.1,0
AC007298.2,0
AC007308.1,0
AC007314.1,0
AC007317.1,0
AC007317.2,0
AC007319.1,0
AC007325.1,0
AC007325.2,0
AC007325.4,0
AC007326.2,0
AC007326.5,0
AC007327.2,0
AC007333.1,0
AC007333.2,0
AC007336.1,0
AC007336.2,0
AC007342.1,0
AC007342.4,0
AC007342.5,0
AC007343.1,0
AC007344.1,0
AC007347.1,0
AC007349.1,0
AC007349.2,0
AC007349.3,0
AC007349.4,0
AC007350.1,0
AC007359.1,0
AC007362.1,0
AC007364.1,0
AC007365.1,0
AC007368.1,0
AC007370.1,0
AC007370.2,0
AC007375.3,0
AC007376.2,0
AC007378.1,0
AC007381.1,0
AC007381.2,0
AC007383.2,0
AC007383.3,0
AC007384.1,0
AC007387.2,0
AC007387.3,0
AC007389.1,0
AC007389.3,0
AC007389.5,0
AC007390.2,0
AC007391.1,0
AC007391.2,0
AC007391.3,0
AC007402.1,0
AC007402.2,0
AC007403.1,0
AC007405.1,0
AC007405.2,0
AC007405.3,0
AC007405.4,0
AC007406.1,0
AC007406.2,0
AC007406.3,0
AC007406.4,0
AC007406.5,0
AC007422.1,0
AC007423.1,0
AC007431.1,0
AC007431.2,0
AC007432.1,0
AC007448.3,0
AC007448.4,0
AC007448.5,0
AC007450.1,0
AC007463.1,0
AC007463.2,0
AC007483.1,0
AC007485.1,0
AC007491.1,0
AC007493.1,0
AC007493.2,0
AC007494.2,0
AC007495.1,0
AC007496.1,0
AC007496.2,0
AC007497.1,0
AC007497.2,0
AC007513.1,0
AC007527.1,0
AC007527.2,0
AC007528.1,0
AC007529.1,0
AC007529.2,0
AC007533.1,0
AC007535.1,0
AC007540.1,0
AC007541.1,0
AC007546.1,0
AC007552.2,0
AC007556.1,0
AC007557.1,0
AC007557.2,0
AC007557.3,0
AC007557.4,0
AC007563.1,0
AC007563.2,0
AC007563.4,0
AC007566.1,0
AC007569.1,0
AC007570.1,0
AC007595.1,0
AC007598.1,0
AC007598.2,0
AC007599.2,0
AC007601.1,0
AC007601.2,0
AC007603.1,0
AC007608.1,0
AC007608.2,0
AC007608.3,0
AC007610.1,0
AC007610.2,0
AC007610.5,0
AC007611.1,0
AC007613.1,0
AC007614.1,0
AC007619.1,0
AC007620.2,0
AC007620.3,0
AC007622.2,0
AC007631.1,0
AC007637.1,0
AC007638.1,0
AC007638.2,0
AC007639.1,0
AC007649.1,0
AC007652.1,0
AC007652.2,0
AC007652.3,0
AC007655.1,0
AC007655.2,0
AC007656.1,0
AC007656.2,0
AC007656.4,0
AC007663.2,0
AC007663.3,0
AC007663.4,0
AC007666.1,0
AC007666.2,0
AC007671.1,0
AC007673.1,0
AC007679.1,0
AC007681.1,0
AC007682.1,0
AC007684.2,0
AC007686.2,0
AC007686.3,0
AC007686.4,0
AC007686.5,0
AC007687.1,0
AC007688.3,0
AC007695.1,0
AC007728.1,0
AC007728.2,0
AC007728.3,0
AC007731.2,0
AC007731.3,0
AC007731.5,0
AC007736.1,0
AC007743.1,0
AC007749.1,0
AC007749.2,0
AC007750.1,0
AC007773.1,0
AC007780.1,0
AC007785.1,0
AC007785.3,0
AC007786.1,0
AC007786.2,0
AC007786.3,0
AC007786.4,0
AC007787.1,0
AC007795.1,0
AC007823.1,0
AC007834.1,0
AC007846.1,0
AC007848.1,0
AC007848.2,0
AC007849.1,0
AC007861.1,0
AC007861.2,0
AC007876.1,0
AC007877.1,0
AC007878.1,0
AC007879.1,0
AC007879.2,0
AC007879.3,0
AC007879.4,0
AC007879.5,0
AC007880.1,0
AC007881.2,0
AC007881.3,0
AC007881.4,0
AC007906.1,0
AC007906.2,0
AC007907.1,0
AC007920.1,0
AC007920.2,0
AC007922.1,0
AC007922.2,0
AC007922.3,0
AC007922.4,0
AC007923.1,0
AC007923.4,0
AC007938.1,0
AC007938.2,0
AC007938.3,0
AC007948.1,0
AC007950.1,0
AC007950.2,0
AC007952.1,0
AC007952.2,0
AC007952.3,0
AC007952.4,0
AC007952.5,0
AC007952.6,0
AC007952.7,0
AC007952.8,0
AC007952.9,0
AC007953.1,0
AC007953.2,0
AC007991.2,0
AC007991.3,0
AC007991.4,0
AC007993.2,0
AC007993.3,0
AC007996.1,0
AC007998.3,0
AC007998.4,0
AC008011.2,0
AC008014.1,0
AC008026.3,0
AC008033.3,0
AC008035.1,0
AC008040.1,0
AC008050.1,0
AC008055.2,0
AC008056.1,0
AC008056.2,0
AC008056.3,0
AC008060.1,0
AC008060.2,0
AC008060.3,0
AC008060.4,0
AC008060.5,0
AC008063.1,0
AC008063.2,0
AC008067.1,0
AC008073.1,0
AC008073.2,0
AC008074.2,0
AC008079.1,0
AC008080.1,0
AC008080.2,0
AC008080.3,0
AC008080.4,0
AC008083.2,0
AC008083.3,0
AC008083.4,0
AC008088.1,0
AC008103.1,0
AC008105.1,0
AC008105.3,0
AC008114.1,0
AC008115.1,0
AC008115.2,0
AC008115.3,0
AC008115.4,0
AC008119.1,0
AC008121.2,0
AC008121.3,0
AC008124.1,0
AC008125.1,0
AC008127.1,0
AC008133.1,0
AC008147.1,0
AC008147.2,0
AC008149.1,0
AC008149.2,0
AC008154.1,0
AC008154.2,0
AC008162.2,0
AC008164.1,0
AC008170.1,0
AC008175.1,0
