final_gene,count,total_patents
TMEM132A,1,3
TMEM219,2,5
TMEM30A,1,4
TMEM45A,1,6
TMPRSS11E,1,3
TMPRSS2,2,9
TMPRSS4,2,8
TMPRSS6,4,6
TMSB4X,1,8
TMX2,1,1
TNF,145,806
TNFRSF10A,9,52
TNFRSF10B,17,69
TNFRSF10C,1,1
TNFRSF10D,1,3
TNFRSF11B,1,2
TNFRSF12A,2,4
TNFRSF13B,3,7
TNFRSF13C,7,51
TNFRSF14,14,48
TNFRSF17,45,123
TNFRSF18,31,137
TNFRSF1A,5,35
TNFRSF1B,16,45
TNFRSF21,5,14
TNFRSF25,6,27
TNFRSF4,58,230
TNFRSF8,23,131
TNFSF10,1,3
TNFSF11,34,80
TNFSF12,3,17
TNFSF13B,12,57
TNFSF14,7,33
TNFSF15,3,63
TNFSF4,1,10
TNFSF8,3,13
TNFSF9,3,11
TNK1,1,2
TNMD,1,2
TNNI3,3,8
TOR1AIP1,1,4
TP53,2,4
TP53TG1,1,5
TRAF1,6,20
TRAV1-2,13,61
TRAV29DV5,2,3
TRBC1,1,9
TRBV20OR9-2,1,2
TRBV9,1,5
TREM1,9,60
TREM2,15,59
TRGV9,1,3
TRIM13,1,3
TRPS1,1,1
TRPV1,1,1
TRPV2,1,1
TSBP1,2,6
TSG101,1,5
TSHR,3,23
TSLP,18,72
TSPAN8,2,14
TSPO,1,0
TTN,1,4
TTR,6,56
TUBB,1,0
TXN,2,5
TYK2,5,22
TYR,1,2
TYRO3,2,20
TYRP1,3,8
UBE3A,1,2
UBQLN4,1,35
UCP1,7,68
UNC5B,2,3
UPK1B,2,3
UPK2,1,2
VAMP2,1,2
VANGL2,1,1
VASH2,1,3
VCAM1,3,15
VEGFA,153,740
VEGFB,1,8
VEGFC,7,12
VEGFD,2,6
VIM,3,11
VSIR,2,6
VTCN1,7,20
VWF,7,47
WNK1,1,1
WNT1,1,4
WT1,6,44
XCR1,2,4
YARS,1,2
YBX1,4,10
YME1L1,1,2
YWHAE,1,3
YWHAG,1,2
ZBTB2,1,3
ZBTB20,3,12
ZG16B,1,5
ZNF354C,1,4
ZNF43,1,2
ZNF746,1,8
,775,3030
